year,contract_month,client_segment_id,customer_type_id,entity_id,family_id,counterpart_id,contract_collateral_type,local_curr_orig_risk_amount,euribor_12m_pct,euribor_3m_pct,tedr_pct,spread_pct,spread_pct_real,ref_pct,m_freq,inflation_rate,gdp_growth,unemployment_rate,euribor_ref_pct,tiene_euribor_12m,tiene_euribor_3m,spread_pred,tin_pred_dec,tedr_pred_pct
2010,8,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),10300271.63,,0.896,2.3326,1.419,1.419,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.1880467795994853,0.020840467795994855,2.0985578070802813
2010,10,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,287910.26,1.495,,2.636,1.11,1.11,1.495,12,1.8,0.07,20.21,1.495,1,0,0.5291567027178703,0.020241567027178706,2.0430415725548823
2010,8,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,101130.88,,0.896,3.7607,2.819,2.819,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.2062819564249159,0.02102281956424916,2.1170483331100387
2010,12,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),5807146.65,,1.022,2.5807,1.537,1.537,1.022,3,1.8,0.07,20.21,1.022,0,1,1.2145983818379762,0.022365983818379762,2.253314394383632
2010,12,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,341650.41,1.526,,2.6032,1.047,1.047,1.526,12,1.8,0.07,20.21,1.526,1,0,0.5060565406626053,0.020320565406626055,2.0510895236039106
2010,5,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,227340.99,1.249,,2.4174,1.142,1.142,1.249,12,1.8,0.21,19.91,1.249,1,0,0.5807382822536589,0.01829738282253659,1.845161276722851
2010,12,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,238177.43,1.526,,2.6032,1.047,1.047,1.526,12,1.8,0.07,20.21,1.526,1,0,0.48447790021971476,0.02010477900219715,2.029107683680409
2010,11,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,111051.2,1.54,,2.6568,1.085,1.085,1.54,12,1.8,0.07,20.21,1.54,1,0,0.5009429484982337,0.02040942948498234,2.060143236984646
2010,8,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),11004528.24,,0.896,2.3326,1.419,1.419,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.1851540240870237,0.020811540240870237,2.0956247491366042
2010,2,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,5660.83,1.225,,9.7351,8.101,8.101,1.225,12,1.8,0.15,19.29,1.225,1,0,5.806536579600308,0.07031536579600307,7.262633160823673
2010,6,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,4412.66,1.281,,19.1504,16.369,16.369,1.281,12,1.8,0.21,19.91,1.281,1,0,14.632750948854284,0.15913750948854283,17.12734185475917
2010,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,300924.39,1.42,,2.606,1.155,1.155,1.42,12,1.8,-0.05,20.08,1.42,1,0,0.5400175648044412,0.01960017564804441,1.9777214316739622
2010,9,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,34814.43,1.42,,7.2314,5.582,5.582,1.42,12,1.8,-0.05,20.08,1.42,1,0,4.480636162504162,0.059006361625041616,6.062861195771774
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,90565.22,1.373,,2.4589,1.059,1.059,1.373,12,1.8,-0.05,20.08,1.373,1,0,0.5548650018860224,0.019278650018860224,1.9449912639716516
2010,10,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,138739.24,,0.998,3.9299,2.882,2.882,0.9979999999999999,3,1.8,0.07,20.21,0.998,0,1,1.209303247402165,0.022073032474021648,2.223583703916865
2010,7,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,6582.8,1.373,,6.9217,5.338,5.338,1.373,12,1.8,-0.05,20.08,1.373,1,0,4.486870207020106,0.058598702070201056,6.01984322306659
2010,5,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,5868.59,1.249,,9.302,7.678,7.678,1.249,12,1.8,0.21,19.91,1.249,1,0,5.900026885051392,0.07149026885051392,7.387989307253706
2010,8,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,312584.35,1.421,,2.5534,1.103,1.103,1.421,12,1.8,-0.05,20.08,1.421,1,0,0.5617191625922743,0.019827191625922745,2.0008366536429234
2010,11,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),14491211.42,,1.042,2.3293,1.269,1.269,1.042,3,1.8,0.07,20.21,1.042,0,1,1.2091508460722282,0.022511508460722283,2.2680853654463817
2010,7,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),2130253.08,,0.849,2.3514,1.484,1.484,0.849,3,1.8,-0.05,20.08,0.849,0,1,1.1971352299805453,0.020461352299805453,2.060122522325547
2010,8,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,143381.32,,0.896,3.7607,2.819,2.819,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.2097720046155398,0.0210577200461554,2.120587507339966
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,381456.66,1.373,,2.4589,1.059,1.059,1.373,12,1.8,-0.05,20.08,1.373,1,0,0.5665981145299144,0.019395981145299144,1.9569340401448976
2010,10,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),13156529.28,,0.998,2.5246,1.506,1.506,0.9979999999999999,3,1.8,0.07,20.21,0.998,0,1,1.1856984230605991,0.02183698423060599,2.199632119257866
2010,10,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,5743.65,1.495,,7.1152,5.398,5.398,1.495,12,1.8,0.07,20.21,1.495,1,0,5.893945528006511,0.07388945528006512,7.644387437230127
2010,8,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),4719626.18,,0.896,2.3326,1.419,1.419,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.177410486668302,0.02073410486668302,2.0877736036966743
2010,8,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,35688.13,,0.896,3.7607,2.819,2.819,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.2079320746795021,0.021039320746795022,2.1187216682950316
2010,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,1831.07,1.42,,19.2937,16.352,16.352,1.42,12,1.8,-0.05,20.08,1.42,1,0,14.562388520014501,0.159823885200145,17.206707675337498
2010,6,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),7849753.49,,0.728,2.3818,1.635,1.635,0.728,3,1.8,0.21,19.91,0.728,0,1,1.14049628459449,0.018684962845944897,1.8801580400375828
2010,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,1762.48,1.42,,19.2937,16.352,16.352,1.42,12,1.8,-0.05,20.08,1.42,1,0,14.562388520014501,0.159823885200145,17.206707675337498
2010,3,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,233670.19,1.215,,2.511,1.268,1.268,1.215,12,1.8,0.15,19.29,1.215,1,0,0.4786359312223724,0.016936359312223724,1.7068448235514344
2010,6,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,1809.6,1.281,,19.1504,16.369,16.369,1.281,12,1.8,0.21,19.91,1.281,1,0,14.608706709538051,0.1588970670953805,17.09955108528327
2010,10,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,1715.6,1.495,,19.316,16.296,16.296,1.495,12,1.8,0.07,20.21,1.495,1,0,14.559836020014497,0.16054836020014496,17.290532402576943
2010,10,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),10382979.02,,0.998,2.5246,1.506,1.506,0.9979999999999999,3,1.8,0.07,20.21,0.998,0,1,1.1719267276808154,0.021699267276808154,2.185659842795973
2010,8,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,1989.29,1.421,,19.1498,16.229,16.229,1.421,12,1.8,-0.05,20.08,1.421,1,0,14.605011283728562,0.1602601128372856,17.25717442062733
2010,6,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,115860.12,1.281,,2.3586,1.052,1.052,1.281,12,1.8,0.21,19.91,1.281,1,0,0.5632310194582106,0.018442310194582104,1.859899934054865
2010,9,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,104216.9,,0.88,3.7754,2.849,2.849,0.88,3,1.8,-0.05,20.08,0.88,0,1,1.1986557807536549,0.02078655780753655,2.093091744997211
2010,2,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,83242.18,1.225,,2.5823,1.327,1.327,1.225,12,1.8,0.15,19.29,1.225,1,0,0.47571343418509593,0.01700713434185096,1.7140332162516536
2010,3,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,305417.01,1.215,,2.511,1.268,1.268,1.215,12,1.8,0.15,19.29,1.215,1,0,0.4919930960020373,0.017069930960020373,1.7204116572219652
2010,7,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,25801.11,1.373,,6.9217,5.338,5.338,1.373,12,1.8,-0.05,20.08,1.373,1,0,4.5050106077460566,0.058780106077460564,6.038983771229889
2010,10,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,75776.51,,0.998,3.9299,2.882,2.882,0.9979999999999999,3,1.8,0.07,20.21,0.998,0,1,1.2106805074989735,0.022086805074989734,2.224981311812768
2010,7,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,99960.17,,0.849,3.7807,2.885,2.885,0.849,3,1.8,-0.05,20.08,0.849,0,1,1.2105300516630109,0.020595300516630107,2.0737012867181104
2010,6,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),4505080.34,,0.728,2.3818,1.635,1.635,0.728,3,1.8,0.21,19.91,0.728,0,1,1.156789456698272,0.01884789456698272,1.8966556928150524
2010,11,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,121348.47,,1.042,3.9707,2.877,2.877,1.042,3,1.8,0.07,20.21,1.042,0,1,1.2374555685241095,0.022794555685241094,2.296819160314856
2010,10,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,399348.77,1.495,,2.636,1.11,1.11,1.495,12,1.8,0.07,20.21,1.495,1,0,0.5349755385764561,0.020299755385764562,2.0489694486167442
2010,8,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),4105523.83,,0.896,2.3326,1.419,1.419,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.1835728722271874,0.020795728722271874,2.094021592105655
2010,3,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,23422.51,1.215,,9.1616,7.583,7.583,1.215,12,1.8,0.15,19.29,1.215,1,0,4.467781814962815,0.05682781814962815,5.833157588003979
2010,11,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),1913423.25,,1.042,2.3293,1.269,1.269,1.042,3,1.8,0.07,20.21,1.042,0,1,1.206683984509814,0.02248683984509814,2.2655813635678923
2010,11,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5593.82,1.54,,19.3392,16.271,16.271,1.54,12,1.8,0.07,20.21,1.54,1,0,14.549876510311183,0.16089876510311182,17.331095400734565
2010,8,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,2384.26,1.421,,19.1498,16.229,16.229,1.421,12,1.8,-0.05,20.08,1.421,1,0,14.604936878966658,0.16025936878966657,17.257088325535786
2010,6,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,8634.41,1.281,,6.7012,5.223,5.223,1.281,12,1.8,0.21,19.91,1.281,1,0,4.478440866360764,0.05759440866360764,5.913934130370868
2010,12,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),14948294.39,,1.022,2.5807,1.537,1.537,1.022,3,1.8,0.07,20.21,1.022,0,1,1.2096308460722283,0.022316308460722283,2.2482725961637806
2010,3,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,320735.27,1.215,,2.511,1.268,1.268,1.215,12,1.8,0.15,19.29,1.215,1,0,0.4916108182242595,0.017066108182242596,1.720023355729805
2010,12,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,5616.33,1.526,,6.9232,5.187,5.187,1.526,12,1.8,0.07,20.21,1.526,1,0,5.627143446037827,0.07153143446037827,7.392383901347643
2010,9,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),7365700.08,,0.88,2.2169,1.321,1.321,0.88,3,1.8,-0.05,20.08,0.88,0,1,1.153920457459808,0.020339204574598084,2.0477410618029213
2010,11,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),6392278.8,,1.042,2.3293,1.269,1.269,1.042,3,1.8,0.07,20.21,1.042,0,1,1.2018095642276538,0.02243809564227654,2.260633675674506
2010,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,3482.8,1.42,,19.2937,16.352,16.352,1.42,12,1.8,-0.05,20.08,1.42,1,0,14.566491316690046,0.15986491316690044,17.21145331197491
2010,8,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),8614794.89,,0.896,2.3326,1.419,1.419,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.1730014882066673,0.020690014882066676,2.083303515451118
2010,6,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,199333.23,1.281,,2.3586,1.052,1.052,1.281,12,1.8,0.21,19.91,1.281,1,0,0.5822463796653637,0.018632463796653634,1.8792409221401796
2010,3,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,301599.88,1.215,,2.511,1.268,1.268,1.215,12,1.8,0.15,19.29,1.215,1,0,0.4919930960020373,0.017069930960020373,1.7204116572219652
2010,8,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),11796494.88,,0.896,2.3326,1.419,1.419,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.1915745322553262,0.020875745322553263,2.1021347850951777
2010,12,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),14787364.51,,1.022,2.5807,1.537,1.537,1.022,3,1.8,0.07,20.21,1.022,0,1,1.2096308460722283,0.022316308460722283,2.2482725961637806
2010,8,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5376.62,1.421,,19.1498,16.229,16.229,1.421,12,1.8,-0.05,20.08,1.421,1,0,14.617504628930144,0.16038504628930145,17.271631517350407
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,4886.71,1.373,,19.0675,16.207,16.207,1.373,12,1.8,-0.05,20.08,1.373,1,0,14.631486271787285,0.16004486271787285,17.232269857591078
2010,12,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,76089.24,,1.022,3.9614,2.888,2.888,1.022,3,1.8,0.07,20.21,1.022,0,1,1.1748086924001926,0.02196808692400193,2.2129345195013084
2010,2,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,10956.56,1.225,,9.7351,8.101,8.101,1.225,12,1.8,0.15,19.29,1.225,1,0,4.456511678654678,0.056815116786546785,5.8318197061739685
2010,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,273702.87,1.42,,2.606,1.155,1.155,1.42,12,1.8,-0.05,20.08,1.42,1,0,0.540321474404645,0.01960321474404645,1.9780308468080765
2010,9,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,61532.41,,0.88,3.7754,2.849,2.849,0.88,3,1.8,-0.05,20.08,0.88,0,1,1.2082392301739022,0.020882392301739022,2.1028087673923057
2010,8,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,160186.85,1.421,,2.5534,1.103,1.103,1.421,12,1.8,-0.05,20.08,1.421,1,0,0.5666432798849411,0.01987643279884941,2.0058511224129605
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5618.87,1.373,,19.0675,16.207,16.207,1.373,12,1.8,-0.05,20.08,1.373,1,0,14.623903690979207,0.15996903690979206,17.22349792278073
2010,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,244053.08,1.42,,2.606,1.155,1.155,1.42,12,1.8,-0.05,20.08,1.42,1,0,0.5410366093252799,0.0196103660932528,1.978758940290093
2010,11,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,31147.08,,1.042,3.9707,2.877,2.877,1.042,3,1.8,0.07,20.21,1.042,0,1,1.2094308031117627,0.022514308031117626,2.2683695400162796
2010,8,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,51352.91,,0.896,3.7607,2.819,2.819,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.2131159260849906,0.02109115926084991,2.1239785746727025
2010,6,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),10547160.36,,0.728,2.3818,1.635,1.635,0.728,3,1.8,0.21,19.91,0.728,0,1,1.1738830028860023,0.019018830028860026,1.9139656787161563
2010,4,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,10990.58,1.225,,9.251,7.655,7.655,1.225,12,1.8,0.21,19.91,1.225,1,0,4.507144076457855,0.057321440764578555,5.885164705654677
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,397001.38,1.373,,2.4589,1.059,1.059,1.373,12,1.8,-0.05,20.08,1.373,1,0,0.5665981145299144,0.019395981145299144,1.9569340401448976
2010,2,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,190033.16,1.225,,2.5823,1.327,1.327,1.225,12,1.8,0.15,19.29,1.225,1,0,0.49781743540337636,0.017228174354033763,1.7364865398245888
2010,7,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,146717.04,,0.849,3.7807,2.885,2.885,0.849,3,1.8,-0.05,20.08,0.849,0,1,1.2119871157266509,0.020609871157266507,2.0751784323595146
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,259766.82,1.373,,2.4589,1.059,1.059,1.373,12,1.8,-0.05,20.08,1.373,1,0,0.5612755726919786,0.019342755726919784,1.951516228823147
2010,11,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,21476.78,1.54,,7.1924,5.426,5.426,1.54,12,1.8,0.07,20.21,1.54,1,0,4.162849430961197,0.057028494309611974,5.854297612196913
